DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2017-01-03,8196.05,8219.1,8192.25,8148.6,131186021.0
2017-01-04,8202.65,8218.5,8190.5,8180.9,136476345.0
2017-01-05,8226.65,8282.65,8273.8,8223.7,163957452.0
2017-01-06,8281.85,8306.85,8243.8,8233.25,143689850.0
2017-01-09,8259.35,8263.0,8236.05,8227.75,102211190.0
2017-01-10,8262.7,8293.8,8288.6,8261.0,147312927.0
2017-01-11,8327.8,8389.0,8380.65,8322.25,192285417.0
2017-01-12,8391.05,8417.2,8407.2,8382.3,177948383.0
2017-01-13,8457.65,8461.05,8400.35,8373.15,190949616.0
2017-01-16,8390.95,8426.7,8412.8,8374.4,127938836.0
2017-01-17,8415.05,8440.9,8398.0,8378.3,125781216.0
2017-01-18,8403.85,8460.3,8417.0,8397.4,168867039.0
2017-01-19,8418.4,8445.15,8435.1,8404.05,170956149.0
2017-01-20,8404.35,8423.65,8349.35,8340.95,208901233.0
2017-01-23,8329.6,8404.15,8391.5,8327.2,200993100.0
2017-01-24,8407.05,8480.95,8475.8,8398.15,184745781.0
2017-01-25,8499.45,8612.6,8602.75,8493.95,301490150.0
2017-01-27,8610.5,8672.7,8641.25,8606.9,283905821.0
2017-01-30,8635.55,8662.6,8632.75,8617.75,314110760.0
2017-01-31,8629.45,8631.75,8561.3,8552.4,537110119.0
2017-02-01,8570.35,8722.4,8716.4,8537.5,337797412.0
2017-02-02,8724.75,8757.6,8734.25,8685.8,292329202.0
2017-02-03,8735.15,8748.25,8740.95,8707.75,196936238.0
2017-02-06,8785.45,8814.1,8801.05,8770.2,200403782.0
2017-02-07,8805.7,8809.3,8768.3,8741.05,233294532.0
2017-02-08,8774.55,8791.25,8769.05,8715.0,225485726.0
2017-02-09,8795.55,8821.4,8778.4,8724.1,193282248.0
2017-02-10,8812.35,8822.1,8793.55,8771.2,232947341.0
2017-02-13,8819.8,8826.9,8805.05,8754.2,211180353.0
2017-02-14,8819.9,8820.45,8792.3,8772.5,194133563.0
2017-02-15,8778.95,8807.9,8724.7,8712.85,222828919.0
2017-02-16,8739.0,8783.95,8778.0,8719.6,190277738.0
2017-02-17,8883.7,8896.45,8821.7,8804.25,307526025.0
2017-02-20,8818.55,8886.25,8879.2,8809.8,173022362.0
2017-02-21,8890.75,8920.8,8907.85,8860.95,181091326.0
2017-02-22,8931.6,8960.75,8926.9,8905.25,254677956.0
2017-02-23,8956.4,8982.15,8939.5,8927.55,388874096.0
2017-02-27,8943.7,8951.8,8896.7,8888.65,195847099.0
2017-02-28,8898.95,8914.75,8879.6,8867.6,302722890.0
2017-03-01,8904.4,8960.8,8945.8,8898.6,212328974.0
2017-03-02,8982.85,8992.5,8899.75,8879.8,225608140.0
2017-03-03,8883.5,8907.1,8897.55,8860.1,208915878.0
2017-03-06,8915.1,8967.8,8963.45,8914.0,180194586.0
2017-03-07,8977.75,8977.85,8946.9,8932.8,178827506.0
2017-03-08,8950.7,8957.05,8924.3,8891.95,183325544.0
2017-03-09,8914.5,8945.8,8927.0,8899.5,176810453.0
2017-03-10,8953.7,8975.7,8934.55,8903.95,157419999.0
2017-03-14,9091.65,9122.75,9087.0,9060.5,278726933.0
2017-03-15,9086.85,9106.55,9084.8,9075.5,248033251.0
2017-03-16,9129.65,9158.45,9153.7,9128.55,215096446.0
2017-03-17,9207.8,9218.4,9160.05,9147.6,295554265.0
2017-03-20,9166.95,9167.6,9126.85,9116.3,342395900.0
2017-03-21,9133.95,9147.75,9121.5,9087.2,255396073.0
2017-03-22,9047.2,9072.9,9030.45,9019.3,239463699.0
